file,class_name,source_origin,source_topic,loc,is_interactive_program,src_compiled,src_compile_errors,src_warnings,runtime_attempted,runtime_errors,exception_types,test_exists,test_compiled,test_compile_errors,tests_passed,tests_failed,tests_total,test_status,total_defects,defect_density,density_grade,is_defective,defect_types
MissingReturnExample.java,MissingReturnExample,unknown,,7,False,False,1,0,False,0,,True,False,6,0,0,0,test_compile_failed,7,1000.0,High,1,"source_compile,test_compile"
MissingReturnHandler.java,MissingReturnHandler,unknown,,5,False,False,1,0,False,0,,True,False,2,0,0,0,test_compile_failed,3,600.0,High,1,"source_compile,test_compile"
MissingSemicolonClass.java,MissingSemicolonClass,unknown,,6,False,False,1,0,False,0,,True,False,3,0,0,0,test_compile_failed,4,666.67,High,1,"source_compile,test_compile"
MissingSemicolonPrinter.java,MissingSemicolonPrinter,unknown,,5,False,False,1,0,False,0,,True,False,2,0,0,0,test_compile_failed,3,600.0,High,1,"source_compile,test_compile"
MissingSemicolonProgram.java,MissingSemicolonProgram,unknown,,6,False,False,1,0,False,0,,True,False,6,0,0,0,test_compile_failed,7,1166.67,High,1,"source_compile,test_compile"
MissingTypeSemicolon.java,MissingTypeSemicolon,unknown,,6,False,False,1,0,False,0,,True,False,6,0,0,0,test_compile_failed,7,1166.67,High,1,"source_compile,test_compile"
ModeInBST.java,ModeInBST,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ModeInBinarySearchTree.java,ModeInBinarySearchTree,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MoveZeroShifter.java,MoveZeroShifter,unknown,,4,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,250.0,High,1,test_failure
MoveZeroes.java,MoveZeroes,unknown,,12,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,83.33,High,1,test_failure
MoveZeroesToEnd.java,MoveZeroesToEnd,unknown,,13,False,True,0,0,False,0,,True,True,0,5,0,5,tests_executed,0,0.0,Clean,0,none
MovingAverageFromDataStream.java,MovingAverageFromDataStream,unknown,,14,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MovingAverageII.java,MovingAverageII,unknown,,14,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MovingAverageIII.java,MovingAverageIII,unknown,,14,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MovingAverageIV.java,MovingAverageIV,unknown,,14,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MultipleChecker.java,MultipleChecker,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MultiplesOfFiveCounter.java,MultiplesOfFiveCounter,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MultiplicationTableGenerator.java,MultiplicationTableGenerator,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MyCalendarI.java,MyCalendarI,unknown,,6,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MyCalendarII.java,MyCalendarII,unknown,,10,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MyCalendarIII.java,MyCalendarIII,unknown,,13,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MyCalendarIV.java,MyCalendarIV,unknown,,17,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MyCalendarV.java,MyCalendarV,unknown,,10,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MyCalendarVI.java,MyCalendarVI,unknown,,17,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MyCalendarVII.java,MyCalendarVII,unknown,,17,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
