file,class_name,source_origin,source_topic,total_lines,blank_lines,comment_lines,loc,class_count,method_count,field_count,import_count,if_count,loop_count,switch_count,catch_count,throw_count,return_count,public_method_count,static_method_count,has_main_method,max_nesting_depth,cyclomatic_estimate,avg_method_loc,comment_ratio,has_unchecked_division,has_array_bounds_risk,has_null_handling_risk,has_possible_null_dereference,has_swallowed_exception,has_resource_leak_risk,has_infinite_loop_risk,has_unbounded_recursion_risk,has_missing_input_validation,is_interactive_program,src_compiled,src_compile_errors,src_warnings,runtime_attempted,runtime_errors,test_exists,test_compiled,test_compile_errors,test_warnings,tests_passed,tests_failed,tests_total,test_status,total_defects,defect_density,density_grade,is_defective,defect_types
AverageOfLevelsInBinaryTreeII.java,AverageOfLevelsInBinaryTreeII,unknown,,10,1,0,9,2,0,0,0,0,0,0,0,0,1,0,0,False,3,1,0.0,0.0,0,0,0,0,0,0,0,0,0,False,True,0,0,False,0,True,True,0,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BalancedBinaryTree.java,BalancedBinaryTree,unknown,,18,2,0,16,2,2,0,0,2,0,0,0,0,4,1,2,False,3,5,5.0,0.0,0,0,0,0,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BalancedBinaryTreeII.java,BalancedBinaryTreeII,unknown,,10,1,0,9,2,1,0,0,0,0,0,0,0,1,1,1,False,3,1,3.0,0.0,0,0,0,0,0,0,0,0,0,False,True,0,0,False,0,True,True,0,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BalancedBracketValidator.java,BalancedBracketValidator,unknown,,32,7,0,25,1,1,0,1,3,1,0,0,0,3,1,1,False,6,12,23.0,0.0,0,1,0,1,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,3,0,3,tests_executed,0,0.0,Clean,0,none
BalancedParenthesisChecker.java,BalancedParenthesisChecker,unknown,,22,4,0,18,1,1,0,1,3,1,0,0,0,2,1,0,False,5,5,15.0,0.0,0,0,0,1,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,3,0,3,tests_executed,0,0.0,Clean,0,none
BasicCalculator.java,BasicCalculator,unknown,,5,0,0,5,1,1,0,0,0,0,0,0,0,1,1,1,False,2,1,3.0,0.0,0,0,0,0,0,0,0,0,0,False,True,0,0,False,0,True,True,0,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
BasicCalculatorII.java,BasicCalculatorII,unknown,,25,0,0,25,1,1,0,0,6,1,0,0,0,1,1,1,False,5,8,23.0,0.0,0,0,0,1,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BasicCalculatorIII.java,BasicCalculatorIII,unknown,,5,0,0,5,1,1,0,0,0,0,0,0,0,1,1,1,False,2,1,3.0,0.0,0,0,0,0,0,0,0,0,0,False,True,0,0,False,0,True,True,0,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
BasicCalculatorIV.java,BasicCalculatorIV,unknown,,5,0,0,5,1,1,0,0,0,0,0,0,0,1,1,1,False,2,1,3.0,0.0,0,0,0,0,0,0,0,0,0,False,True,0,0,False,0,True,True,0,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
BasicCalculatorV.java,BasicCalculatorV,unknown,,5,0,0,5,1,1,0,0,0,0,0,0,0,1,1,1,False,2,1,3.0,0.0,0,0,0,0,0,0,0,0,0,False,True,0,0,False,0,True,True,0,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BasicCalculatorVI.java,BasicCalculatorVI,unknown,,5,0,0,5,1,1,0,0,0,0,0,0,0,1,1,1,False,2,1,3.0,0.0,0,0,0,0,0,0,0,0,0,False,True,0,0,False,0,True,True,0,0,1,0,1,tests_executed,0,0.0,Clean,0,none
